"개방자치단체코드","관리번호","인허가일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3220000","3220000-104-2023-00499","2023-09-08              ","01","영업/정상","01","영업","                        ","02-6406-4845","46.53","135-890   ","서울특별시 강남구 신사동 549-6","서울특별시 강남구 논현로175길 58, 지상1층 101호 (신사동)","06029","컴포즈커피 신사세로수길점","2026-04-09 10:58:11","U","2026-04-10 03:03:03","커피숍","202066.602429708    ","446916.228862633    ","커피숍","","","","","","","","","","","","","N","46.53","","",""
"3220000","3220000-104-2024-00867","2024-12-20              ","03","폐업","02","폐업","2026-04-09              ","02-541-9895","68.00","135-815   ","서울특별시 강남구 논현동 33-20 키드코 빌딩","서울특별시 강남구 논현로 731, 키드코 빌딩 지상1층 (논현동)","06041","카페 융","2026-04-09 11:13:49","U","2026-04-10 03:03:03","커피숍","202483.67695541     ","446109.931611452    ","커피숍","","","","","","","","","","","","","N","68","","",""
"3220000","3220000-104-2021-00765","2021-12-22              ","01","영업/정상","01","영업","                        ","02-460-3097","145.62","135-513   ","서울특별시 강남구 역삼동 701-2 삼정빌딩","서울특별시 강남구 테헤란로 301, 삼정빌딩 지상2층 (역삼동)","06152","할리스 강남우리라운지점","2026-04-09 11:10:29","U","2026-04-10 03:03:03","커피숍","203744.372341385    ","444548.690712365    ","커피숍","","","","","","","","","","","","","N","145.62","","",""
"3220000","3220000-104-2020-00547","2020-10-21              ","03","폐업","02","폐업","2026-04-09              ","","24.48","135-884   ","서울특별시 강남구 수서동 714 로얄프라자","서울특별시 강남구 광평로51길 8, 로얄프라자 지상1층 113호 (수서동)","06349","매머드익스프레스 수서역점","2026-04-09 10:55:43","U","2026-04-10 03:03:03","커피숍","208992.862909059    ","442912.82755506     ","커피숍","","","","","","","","","","","","","N","24.48","","",""
"3220000","3220000-104-2024-00473","2024-07-26              ","01","영업/정상","01","영업","                        ","02-511-1910","159.15","135-954   ","서울특별시 강남구 청담동 80-4","서울특별시 강남구 압구정로 432, 1층 (청담동)","06015","바샤커피 청담점","2026-04-10 15:07:26","U","2026-04-11 03:03:03","커피숍","203826.265014509    ","447157.327182325    ","커피숍","","","","","","","","","","","","","Y","159.15","","",""
"3220000","3220000-104-2013-00455","2013-12-20              ","01","영업/정상","01","영업","                        ","02-572-9501","18.22","135-860   ","서울특별시 강남구 도곡동 943-2 1층","서울특별시 강남구 도곡로 112, 1층 (도곡동)","06258","커피박스","2026-04-10 11:38:26","U","2026-04-11 03:03:03","커피숍","202835.924249933    ","443051.27224413     ","커피숍","","","","","","","","","","","","","N","18.22","","",""
"3220000","3220000-104-2026-00236","2026-04-10              ","01","영업/정상","01","영업","                        ","","23.04","135-090   ","서울특별시 강남구 삼성동 7-3 래미안삼성2차아파트","서울특별시 강남구 선릉로130길 20, 1층 106호 (삼성동, 래미안삼성2차아파트)","06088","티미커피(TiMi coffee)","2026-04-10 14:20:43","I","2026-04-11 22:18:01","커피숍","203770.384197358    ","445992.329114168    ","커피숍","","","","","","","","","","","","","N","23.04","","",""
"3220000","3220000-104-2024-00419","2024-07-09              ","01","영업/정상","01","영업","                        ","02-552-8402","40.90","135-936   ","서울특별시 강남구 역삼동 830-50","서울특별시 강남구 역삼로7길 5, 지상1층 (역삼동)","06243","파워커피(PoWer coffee)","2026-05-08 13:04:13","U","2026-05-09 03:03:03","커피숍","202836.317101951    ","443582.351715307    ","커피숍","","","","","","","","","","","","","N","40.9","","",""
"3220000","3220000-104-2022-00603","2022-11-25              ","01","영업/정상","01","영업","                        ","","37.80","135-939   ","서울특별시 강남구 개포동 12 대치아파트","서울특별시 강남구 개포로109길 5, 대치아파트단지내 상가동 지상1층 109호 (개포동, 대치아파트)","06335","나누리 꽃","2026-05-06 10:02:27","U","2026-05-07 03:03:03","커피숍","206581.787067095    ","443555.991242524    ","커피숍","","","","","","","","","","","","","N","37.8","","",""
"3220000","3220000-104-2010-00371","2010-10-27              ","03","폐업","02","폐업","2011-08-31              ","","33.00","135-821   ","서울특별시 강남구 논현동 107-45 지상1층 ","","     ","유원커피샵","2010-10-27 10:38:57","I","2025-12-15 16:15:28","커피숍","203258.488468974    ","446249.301711467    ","커피숍","","","","","","","","","","","","","N","33","","",""
"3220000","3220000-104-2014-00460","2014-11-05              ","01","영업/정상","01","영업","                        ","","16.00","135-829   ","서울특별시 강남구 논현동 215-12 ","서울특별시 강남구 논현로 656, 지상1층 (논현동)","06105","와플반트","2014-11-05 10:19:43","I","2025-12-15 16:15:28","커피숍","202743.773581145    ","445591.57677316     ","커피숍","","","","","","","","","","","","","N","16","","",""
"3220000","3220000-104-2021-00389","2021-06-29              ","01","영업/정상","01","영업","                        ","","19.80","135-220   ","서울특별시 강남구 수서동 214-2 수서역사 ","서울특별시 강남구 밤고개로 99, 수서역사 지하1층 (수서동)","06369","ㅊa 수서역사점 (카페 차)","2025-12-31 10:34:19","I","2026-01-02 02:40:00","커피숍","209148.486125918    ","442656.13583135     ","커피숍","","","","","","","","","","","","","N","19.8","","",""
"3220000","3220000-104-2025-00715","2025-10-13              ","01","영업/정상","01","영업","                        ","","18.81","135-936   ","서울특별시 강남구 역삼동 832-3 강남역 쉐르빌 ","서울특별시 강남구 강남대로 328, 강남역 쉐르빌 지상1층 108호 (역삼동)","06252","듀공 역삼점","2025-10-13 16:54:56","I","2025-12-15 16:15:28","커피숍","202645.88           ","443351.145          ","커피숍","","","","","","","","","","","","","N","18.81","","",""
"3220000","3220000-104-2023-00575","2023-10-18              ","01","영업/정상","01","영업","                        ","","99.00","135-815   ","서울특별시 강남구 논현동 33-15 ","서울특별시 강남구 도산대로28길 26, 지상1층 (논현동)","06041","일리팡커피(elephante coffee)","2023-10-18 11:58:18","I","2025-12-15 16:15:28","커피숍","202437.538960657    ","446163.191237238    ","커피숍","","","","","","","","","","","","","N","99","","",""
"3220000","3220000-104-2023-00005","2023-01-04              ","01","영업/정상","01","영업","                        ","","13.62","135-875   ","서울특별시 강남구 삼성동 129-4 ","서울특별시 강남구 테헤란로79길 33, 지하1층 101호 (삼성동)","06157","글루글루(GLUU GLUU)","2023-01-04 10:10:41","I","2025-12-15 16:15:28","커피숍","204743.571100017    ","445194.09355493     ","커피숍","","","","","","","","","","","","","N","13.62","","",""
"3220000","3220000-104-2020-00546","2020-10-20              ","01","영업/정상","01","영업","                        ","","22.77","135-840   ","서울특별시 강남구 대치동 891-38 ","서울특별시 강남구 선릉로90길 68, 101동 1층 101호 (대치동)","06194","드리체커피","2020-10-20 12:08:58","I","2025-12-15 16:15:28","커피숍","204768.485          ","444804.24           ","커피숍","","","","","","","","","","","","","N","22.77","","",""
