"개방자치단체코드","관리번호","인허가일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","위생업태명","남성종사자수","여성종사자수","영업장주변구분명","등급구분명","급수시설구분명","본사종업원수","공장사무직종업원수","공장판매직종업원수","공장생산직종업원수","건물소유구분명","보증액","월세액","다중이용업소여부","시설총규모","전통업소지정번호","전통업소주된음식","홈페이지"
"3030000","3030000-104-2019-00062","2019-05-02              ","03","폐업","02","폐업","2020-08-14              ","","62.80","133-822   ","서울특별시 성동구 성수동1가 13-439 ","서울특별시 성동구 상원길 70, 1층 (성수동1가)","04791","포이렛 Poiret","2020-08-14 12:08:18","I","2025-12-15 16:15:28","커피숍","204164.559818014    ","449765.31113077     ","커피숍","","","","","","","","","","","","","N","62.8","","",""
"3030000","3030000-104-2021-00058","2021-04-23              ","03","폐업","02","폐업","2025-06-30              ","","35.96","133-881   ","서울특별시 성동구 홍익동 380 ","서울특별시 성동구 왕십리로30길 19-1, 1층 (홍익동)","04707","아찰라이","2025-06-30 09:05:42","I","2025-12-15 16:15:28","커피숍","202647.709875916    ","451545.468601773    ","커피숍","","","","","","","","","","","","","N","35.96","","",""
"3030000","3030000-104-2018-00082","2018-05-23              ","03","폐업","02","폐업","2022-08-12              ","","93.73","133-828   ","서울특별시 성동구 성수동2가 339-4 자애산부인과소아과의원 ","서울특별시 성동구 성덕정길 83, 1층 (성수동2가)","04775","아띠그린(Atti Geulin)","2022-08-12 09:29:13","I","2025-12-15 16:15:28","커피숍","204607.101708873    ","448414.615557602    ","커피숍","","","","","","","","","","","","","N","93.73","","",""
"3030000","3030000-104-2020-00160","2020-12-08              ","01","영업/정상","01","영업","                        ","","52.29","133-823   ","서울특별시 성동구 성수동1가 656-688 ","서울특별시 성동구 왕십리로10길 19, 1층 (성수동1가)","04778","오버도즈 OVDZ","2020-12-08 14:31:52","I","2025-12-15 16:15:28","커피숍","204051.954533552    ","449373.962310478    ","커피숍","","","","","","","","","","","","","N","52.29","","",""
"3030000","3030000-104-2020-00164","2020-12-09              ","01","영업/정상","01","영업","                        ","","35.00","133-020   ","서울특별시 성동구 하왕십리동 1070 센트라스 ","서울특별시 성동구 왕십리로 410, J동 지하1층 B106-1호 (하왕십리동, 센트라스)","04701","오버나잇 커피로스터스(OVRNGHT COFFEE ROASTERS)","2021-02-09 11:42:52","I","2025-12-15 16:15:28","커피숍","202372.912023599    ","451536.680876573    ","커피숍","","","","","","","","","","","","","N","35","","",""
"3030000","3030000-104-2017-00066","2017-04-24              ","03","폐업","02","폐업","2018-04-10              ","","36.33","133-822   ","서울특별시 성동구 성수동1가 8-41 ","서울특별시 성동구 왕십리로4길 24-22, 지하1층 (성수동1가)","04778","카페 다빈","2018-04-10 17:48:31","I","2025-12-15 16:15:28","커피숍","204086.327417697    ","449371.056828124    ","커피숍","","","","","","","","","","","","","N","36.33","","",""
"3030000","3030000-104-2023-00068","2023-05-25              ","03","폐업","02","폐업","2024-08-08              ","","62.43","133-835   ","서울특별시 성동구 성수동2가 316-40 ","서울특별시 성동구 연무장길 39-15, 2층 (성수동2가)","04782","와이(Y)704","2024-08-08 14:23:10","I","2025-12-15 16:15:28","커피숍","204693.911063887    ","449009.86436437     ","커피숍","","","","","","","","","","","","","N","62.43","","",""
"3030000","3030000-104-2014-00005","2014-01-10              ","03","폐업","02","폐업","2019-01-17              ","","196.00","133-791   ","서울특별시 성동구 행당동 17 한양대학교 학생회관 ","서울특별시 성동구 왕십리로 222, 지상1층 (행당동, 한양대학교 학생회관)","     ","한양대 그라찌에","2019-01-17 11:58:39","I","2025-12-15 16:15:28","커피숍","203684.127182478    ","450698.570810848    ","커피숍","","","","","","","","","","","","","N","196","","",""
"3030000","3030000-104-2014-00001","2014-01-02              ","03","폐업","02","폐업","2016-09-13              ","07088356039","22.00","133-867   ","서울특별시 성동구 행당동 292-33 지상1층 ","서울특별시 성동구 왕십리로21길 13-1, 지상1층 (행당동)","04715","소목","2015-04-08 10:11:27","I","2025-12-15 16:15:28","커피숍","202846.102638707    ","450981.536740099    ","커피숍","","","","","","","","","","","","","N","22","","",""
"3030000","3030000-104-2014-00009","2014-01-29              ","03","폐업","02","폐업","2025-03-31              ","024615557","66.00","133-832   ","서울특별시 성동구 성수동2가 277-28 우리W타워 10층 ","서울특별시 성동구 아차산로15길 19, 10층 (성수동2가, 우리W타워)","04798","팔롬비니 카페테리아","2025-03-31 11:13:16","I","2025-12-15 16:15:28","커피숍","205426.832025995    ","449169.918122863    ","커피숍","","","","","","","","","","","","","N","66","","",""
"3030000","3030000-104-2023-00117","2023-09-01              ","01","영업/정상","01","영업","                        ","","44.76","133-804   ","서울특별시 성동구 금호동2가 1215 금호자이1차 ","서울특별시 성동구 금호로 127, 금호자이1차 상가동 25, 26호 (금호동2가)","04728","카이로스","2023-09-01 10:00:31","I","2025-12-15 16:15:28","커피숍","201914.222823422    ","450063.478301322    ","커피숍","","","","","","","","","","","","","N","44.76","","",""
"3030000","3030000-104-2023-00104","2023-08-07              ","03","폐업","02","폐업","2024-12-12              ","","35.40","133-828   ","서울특별시 성동구 성수동2가 339-28 ","서울특별시 성동구 성수이로 45, 지1층 (성수동2가)","04781","로스터리 노드","2024-12-12 14:17:02","I","2025-12-15 16:15:28","커피숍","204778.616965788    ","448550.757784104    ","커피숍","","","","","","","","","","","","","N","35.4","","",""
"3030000","3030000-104-2019-00017","2019-02-13              ","03","폐업","02","폐업","2020-03-09              ","","49.00","133-857   ","서울특별시 성동구 하왕십리동 890-93 ","서울특별시 성동구 왕십리로31가길 10-2, 1층 (하왕십리동)","     ","Brett","2020-03-09 11:55:53","I","2025-12-15 16:15:28","커피숍","202440.132038148    ","451303.198016794    ","커피숍","","","","","","","","","","","","","N","49","","",""
"3030000","3030000-104-2020-00168","2020-12-11              ","03","폐업","02","폐업","2024-08-07              ","","22.68","133-851   ","서울특별시 성동구 용답동 223-3 ","서울특별시 성동구 천호대로 346, 1층 (용답동)","04806","미타임(METIME)","2024-08-07 11:44:59","I","2025-12-15 16:15:28","커피숍","204987.559275404    ","451147.599393096    ","커피숍","","","","","","","","","","","","","N","22.68","","",""
"3030000","3030000-104-2016-00144","2016-09-09              ","03","폐업","02","폐업","2017-07-24              ","","37.63","133-823   ","서울특별시 성동구 성수동1가 656-347 ","서울특별시 성동구 상원길 71, 1층 (성수동1가)","04788","에셔","2017-07-24 15:17:24","I","2025-12-15 16:15:28","커피숍","204140.368371885    ","449783.464503341    ","커피숍","","","","","","","","","","","","","N","37.63","","",""
"3030000","3030000-104-2016-00140","2016-09-05              ","03","폐업","02","폐업","2017-07-26              ","","21.60","133-070   ","서울특별시 성동구 행당동 347 ","서울특별시 성동구 행당로 87, 1층 140호 (행당동, 대림리빙프라자)","04713","앤스 샌드위치 커피","2017-07-26 12:14:07","I","2025-12-15 16:15:28","커피숍","202326.503044305    ","450625.58422744     ","커피숍","","","","","","","","","","","","","N","21.6","","",""
"3030000","3030000-104-2019-00096","2019-07-03              ","03","폐업","02","폐업","2021-02-23              ","","16.50","133-825   ","서울특별시 성동구 성수동1가 685-415 ","서울특별시 성동구 서울숲2길 21, 1층 (성수동1가)","04768","에포프로덕트 서울스토어","2021-02-23 10:20:07","I","2025-12-15 16:15:28","커피숍","203559.059697433    ","449426.260055214    ","커피숍","","","","","","","","","","","","","N","16.5","","",""
"3030000","3030000-104-2019-00092","2019-06-21              ","03","폐업","02","폐업","2025-12-01              ","","23.00","133-815   ","서울특별시 성동구 마장동 767-7 한양교회 ","서울특별시 성동구 마장로39길 46, 1층 (마장동)","     ","드웰 (Dwell)","2025-12-01 17:04:46","I","2025-12-15 16:15:28","커피숍","203851.278730579    ","451830.564364486    ","커피숍","","","","","","","","","","","","","N","23","","",""
"3030000","3030000-104-2009-00005","2009-02-02              ","03","폐업","02","폐업","2012-03-06              ","0204652498","18.32","133-835   ","서울특별시 성동구 성수동2가 316-73 지상1층(성수역길 32) ","서울특별시 성동구 연무장7길 3 (성수동2가,지상1층(성수역길 32))","04782","카페웨이브","2009-03-23 10:37:18","I","2025-12-15 16:15:28","커피숍","204723.83504886     ","448977.194740043    ","커피숍","","","","","상수도전용","","","","","","","","N","18.32","","",""
"3030000","3030000-104-2017-00204","2017-12-29              ","01","영업/정상","01","영업","                        ","","58.00","133-831   ","서울특별시 성동구 성수동2가 273-47 ","서울특별시 성동구 연무장13길 3, 1층 (성수동2가)","04783","업.사이드(up.side)","2020-08-27 10:51:28","I","2025-12-15 16:15:28","커피숍","205052.846131795    ","448862.975882091    ","커피숍","","","","","상수도전용","","","","","","","","N","58","","",""
"3030000","3030000-104-2022-00037","2022-03-21              ","03","폐업","02","폐업","2024-12-09              ","","52.08","133-883   ","서울특별시 성동구 도선동 402 ","서울특별시 성동구 무학로 8, 1층 (도선동)","04707","프리텐더스","2024-12-09 15:12:39","I","2025-12-15 16:15:28","커피숍","202619.718109742    ","451383.849786887    ","커피숍","","","","","","","","","","","","","N","52.08","","",""
"3030000","3030000-104-2023-00015","2023-01-26              ","01","영업/정상","01","영업","                        ","024631080","26.00","133-832   ","서울특별시 성동구 성수동2가 280-45 ","서울특별시 성동구 광나루로 296, 1층 (성수동2가)","04796","퓨엘커피","2023-01-26 13:45:27","I","2025-12-15 16:15:28","커피숍","205456.4968351      ","449518.407579277    ","커피숍","","","","","","","","","","","","","N","26","","",""
"3030000","3030000-104-2017-00208","2017-09-21              ","03","폐업","02","폐업","2025-12-19              ","","10.00","133-867   ","서울특별시 성동구 행당동 249-4 ","서울특별시 성동구 왕십리로 285, 지1층 (행당동)","04744","플레이어","2025-12-19 16:22:01","I","2025-12-21 02:40:00","커피숍","203138.603979446    ","450834.877645163    ","커피숍","","","","","","","","","","","","","N","10","","",""
"3030000","3030000-104-2014-00095","2014-10-27              ","03","폐업","02","폐업","2016-07-28              ","","21.00","133-070   ","서울특별시 성동구 행당동 347 ","서울특별시 성동구 행당로 87, 1층 140호 (행당동, 대림리빙플라자)","04713","에이블(ABLE)","2015-10-15 16:03:30","I","2025-12-15 16:15:28","커피숍","202326.503044305    ","450625.58422744     ","커피숍","","","","","","","","","","","","","N","21","","",""
"3030000","3030000-104-2014-00022","2014-03-20              ","03","폐업","02","폐업","2018-08-20              ","024625869","22.00","133-833   ","서울특별시 성동구 성수동2가 299-241 ","서울특별시 성동구 아차산로7길 45, 1층 (성수동2가)","04792","트레블카페","2018-08-20 16:30:12","I","2025-12-15 16:15:28","커피숍","204854.108402485    ","449655.455651283    ","커피숍","","","","","","","","","","","","","N","22","","",""
"3030000","3030000-104-2015-00004","2015-01-09              ","03","폐업","02","폐업","2017-03-27              ","","75.12","133-830   ","서울특별시 성동구 성수동2가 700-1 ","서울특별시 성동구 둘레15길 11, 1층 (성수동2가)","04776","시로야마","2017-03-27 10:01:35","I","2025-12-15 16:15:28","커피숍","204830.550059768    ","448169.308636228    ","커피숍","","","","","","","","","","","","","N","75.12","","",""
"3030000","3030000-104-2024-00089","2024-08-20              ","03","폐업","02","폐업","2025-07-08              ","07077900136","23.00","133-835   ","서울특별시 성동구 성수동2가 302-4 남양에코넷센터 ","서울특별시 성동구 아차산로 78, 남양에코넷센터 1층 (성수동2가)","04782","브레빌","2025-07-08 10:46:10","I","2025-12-15 16:15:28","커피숍","204591.630913415    ","449217.592024885    ","커피숍","","","","","","","","","","","","","N","23","","",""
"3030000","3030000-104-2023-00019","2023-01-31              ","03","폐업","02","폐업","2024-11-11              ","025118610","58.59","133-835   ","서울특별시 성동구 성수동2가 301-12 ","서울특별시 성동구 연무장3길 9-14, 지1층 (성수동2가)","04782","키쿠키앤커피 성수","2024-11-11 10:05:38","I","2025-12-15 16:15:28","커피숍","204486.186798088    ","449175.364304474    ","커피숍","","","","","","","","","","","","","N","58.59","","",""
"3030000","3030000-104-2004-00047","2004-07-29              ","03","폐업","02","폐업","2006-08-16              ","22814607","23.29","133-866   ","서울특별시 성동구 행당동 192-29 (112호) ","","     ","커피앤샌드","2004-07-29 00:00:00","I","2025-12-15 16:15:28","커피숍","203182.593906872    ","451405.183612375    ","커피숍","","","","","","","","","","","","","N","23.29","","",""
"3030000","3030000-104-2024-00085","2024-08-12              ","03","폐업","02","폐업","2024-11-12              ","","15.80","133-809   ","서울특별시 성동구 금호동4가 1114 ","서울특별시 성동구 독서당로 287, 1층 101호 (금호동4가)","04725","미스홍삼","2024-11-12 11:44:20","I","2025-12-15 16:15:28","커피숍","201782.336238235    ","449525.356028       ","커피숍","","","","","","","","","","","","","N","15.8","","",""
"3030000","3030000-104-2024-00081","2024-08-01              ","03","폐업","02","폐업","2025-05-27              ","","21.39","133-832   ","서울특별시 성동구 성수동2가 280 성수 SK V1 CENTER I ","서울특별시 성동구 아차산로17길 48, 성수 SK V1 CENTER I 지하1층 RB118호 (성수동2가)","04799","쥬스샵(JUICE SHOP)","2025-05-27 10:29:36","I","2025-12-15 16:15:28","커피숍","205773.876761108    ","449380.832285638    ","커피숍","","","","","","","","","","","","","N","21.39","","",""
"3030000","3030000-104-2005-00039","2005-10-19              ","03","폐업","02","폐업","2017-06-09              ","0222822661","29.74","133-861   ","서울특별시 성동구 행당동 25-1 (지상1층) ","서울특별시 성동구 마조로 2 (행당동,(지상1층))","04763","(주)텐케이 한양대점","2017-06-09 17:01:11","I","2025-12-15 16:15:28","커피숍","203568.843162932    ","450640.56797966     ","커피숍","0","0","","","","","","","","","","","N","29.74","","",""
"3030000","3030000-104-2017-00062","2017-04-19              ","01","영업/정상","01","영업","                        ","","49.50","133-837   ","서울특별시 성동구 송정동 90-7 ","서울특별시 성동구 동일로 265, 1층 103,106,107호 (송정동, 세종프라자)","04800","CU송정 건영점","2017-04-19 17:17:49","I","2025-12-15 16:15:28","커피숍","206209.280864162    ","450341.48856641     ","커피숍","","","","","","","","","","","","","N","49.5","","",""
"3030000","3030000-104-2018-00172","2018-11-23              ","03","폐업","02","폐업","2021-05-06              ","","40.37","133-805   ","서울특별시 성동구 금호동3가 210-2 ","서울특별시 성동구 독서당로 327, 1층 (금호동3가)","04730","위더커피","2021-05-06 09:06:03","I","2025-12-15 16:15:28","커피숍","202175.117943358    ","449552.518994644    ","커피숍","","","","","","","","","","","","","N","40.37","","",""
"3030000","3030000-104-2020-00116","2020-08-31              ","01","영업/정상","01","영업","                        ","","20.92","133-825   ","서울특별시 성동구 성수동1가 685-489 ","서울특별시 성동구 서울숲2길 8, 1층 (성수동1가)","04768","위켄드 피크닉(Weekend Picnic)","2023-08-18 09:50:13","I","2025-12-15 16:15:28","커피숍","203427.966630047    ","449470.871164287    ","커피숍","","","","","","","","","","","","","N","20.92","","",""
"3030000","3030000-104-2025-00008","2025-01-14              ","03","폐업","02","폐업","2026-01-09              ","","40.00","133-832   ","서울특별시 성동구 성수동2가 281-14 청호빌딩 ","서울특별시 성동구 광나루로 328, 청호빌딩 1층 (성수동2가)","04799","일프레소(illpresso) 성수점","2026-01-09 11:16:02","I","2026-01-10 22:18:00","커피숍","205783.249607373    ","449525.391270465    ","커피숍","","","","","","","","","","","","","N","40","","",""
"3030000","3030000-104-2019-00093","2019-06-21              ","03","폐업","02","폐업","2022-12-15              ","","50.40","133-833   ","서울특별시 성동구 성수동2가 299-144 ","서울특별시 성동구 성수일로12가길 12-14, 지하1층 (성수동2가)","04792","카페 beanlosophy roasters","2022-12-15 15:25:41","I","2025-12-15 16:15:28","커피숍","204618.20397066     ","449670.594205527    ","커피숍","","","","","","","","","","","","","N","50.4","","",""
